가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수길중간위도,가로수길중간경도,가로수길소개,,,,,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,제공기관명
하나로길,37.488091,127.100791,37.489381,127.105181,37.477561,127.102986,왕벚나무가 조성되어 있는 아름다운 길,,,,,밤고개로1길(하나로길),,수서역~수서파출소,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
헌릉로590길,37.464881,127.103751,37.463331,127.100631,37.465171,127.102191,"왕벚나무, 이팝나무가 조성되어 있는 아름다운 길",,,,,헌릉로590길,,헌릉로~강남신동아파밀리에1단지,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
헌릉로569길,37.467031,127.101661,37.467031,127.094511,37.473876,127.098086,왕벚나무가 조성되어 있는 아름다운 길,,,,,헌릉로569길,,강남 LH 1단지 e편한세상~세곡 푸르지오,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
헌릉로571길,37.465461,127.101671,37.466951,127.101741,37.487806,127.101706,왕벚나무가 조성되어 있는 아름다운 길,,,,,헌릉로571길,,은곡사거리~강남 LH 1단지 e편한세상,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
광평로34길,37.480721,127.087781,37.484221,127.094711,37.489776,127.091246,왕벚나무가 조성되어 있는 아름다운 길,,,,,광평로34길,,광평로~강남데시앙포레,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
탄천길,37.510151,127.063751,37.516141,127.066381,37.502071,127.065066,"왕벚나무, 은행나무가 조성되어 있는 아름다운 길",,,,,테헤란로115길(탄천길),,강남소방서~아펠바움,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
특허청길,37.498831,127.031141,37.494111,127.033411,37.491061,127.032276,왕벚나무가 조성되어 있는 아름다운 길,,,,,테헤란로8길+역삼로7길(특허청길),,테헤란로~역삼로,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
새밝길,37.493991,127.033411,37.490661,127.035061,37.490551,127.034236,왕벚나무가 조성되어 있는 아름다운 길,,,,,역삼로8길+도곡로7길(새밝길),,역삼로~도곡로,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
매봉길,37.483291,127.047571,37.486241,127.045461,37.484076,127.046516,왕벚나무가 조성되어 있는 아름다운 길,,,,,남부순환로378길(매봉길),,강남수도사업소삼거리~매봉역사거리,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
수서7단지길,37.487111,127.100311,37.488291,127.098411,37.482676,127.099361,왕벚나무가 조성되어 있는 아름다운 길,,,,,광평로47길(수서7단지길),,광평로~광평로39길,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
벚꽃길,37.484861,127.046311,37.482231,127.043221,37.490641,127.044766,왕벚나무가 조성되어 있는 아름다운 길,,,,,논현로28길(벚꽃길),,영동2교교차로~독골공원,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
자곡로,37.478241,127.114041,37.465431,127.095111,37.4044265,127.104576,왕벚나무가 조성되어 있는 아름다운 길,,,,,자곡로,,숲내교교차로~은곡삼거리,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
개포로,37.496421,127.087971,37.478291,127.044651,37.410532,127.066311,"은행나무, 왕벚나무가 조성되어 있는 아름다운 길",,,,,개포로,,일원에코파크~포아사거리,02-3423-6273,서울특별시 강남구청,2023-01-03,3220000,서울특별시 강남구,서울특별시 강남구
동남로 71길,37.330612,127.092276,37.330669,127.091018,37.3276975,127.091647,양버즘나무 외 1종으로 이루어진 가로수길,,,,,동남로 71길,구도,명일동 57 ~ 상일동 147,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
상암로,37.324643,127.092126,37.330593,127.072646,37.437691,127.082386,은행나무 외 2종으로 이루어진 가로수길,,,,,상암로,구도,대명초교입구교차로 ~ 암사동 539-3,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
상암로 61길,37.324783,127.090897,37.325698,127.090956,37.328242,127.0909265,은행나무 외 1종으로 이루어진 가로수길,,,,,상암로 61길,구도,명일동 59 ~ 명일동 58,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
동호로,37.550739,127.013956,37.569753,127.002024,37.596986,127.00799,은행나무 주요노선으로 가을철 아름다운 단풍노선,,,,,동호로,,금호터널~청계천 마전교,02-3396-5872,서울특별시 중구청,2023-07-04,3010000,서울특별시 중구,서울특별시 중구
고덕로 55길,37.331701,127.085623,37.333107,127.085508,37.48112,127.0855655,양버즘나무 외 1종으로 이루어진 가로수길,,,,,고덕로 55길,구도,고덕동 314 ~ 고덕동 490,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
북한산로,37.643233,126.914551,37.658073,126.945055,37.643134,126.929803,벚나무등이 중심이며 느티나무등이 식재되어 있음,,,,,북한산로,특별시도,구파발삼거리~북한산입구,02-351-8013,서울특별시 은평구청,2021-05-01,3110000,서울특별시 은평구,서울특별시 은평구
진관1로,37.630539,126.919221,37.631059,126.927898,37.630004,126.9235595,왕벚나무와 느티나무를 중심으로 식재되어 있음,,,,,진관1로,특별시도,박석고개교차로~폭포동입구교차로,02-351-8013,서울특별시 은평구청,2021-05-01,3110000,서울특별시 은평구,서울특별시 은평구
진관4로,37.643035,126.921516,37.650041,126.931377,37.640317,126.9264465,느티나무를 중심으로 식재되어 있음,,,,,진관4로,구도,롯데캐슬821동앞 ~은평뉴타운6단지 앞 교차로,02-351-8013,서울특별시 은평구청,2021-05-01,3110000,서울특별시 은평구,서울특별시 은평구
연서로44길,37.629469,126.930112,37.626741,126.933999,37.6151715,126.9320555,왕벚나무를 중심으로 식재되어 있음,,,,,연서로44길,구도,폭포동입구 교차로~은평뉴타운폭포동 힐스테이트4-3단지 아파트423동앞,02-351-8013,서울특별시 은평구청,2021-05-01,3110000,서울특별시 은평구,서울특별시 은평구
연서로48길,37.637599,126.935076,37.641273,126.941357,37.6185415,126.9382165,왕벚나무를 중심으로 식재되어 있음,,,,,연서로48길,구도,제각말아파트교차로~셋이서 문학관,02-351-8013,서울특별시 은평구청,2021-05-01,3110000,서울특별시 은평구,서울특별시 은평구
은평로,37.600874,126.933541,37.597852,126.909652,37.599684,126.9215965,"가로수의 주수종은 은행나무이며, 왕벚나무가 식재되어 있음",,,,,은평로,특별시도,녹번역~신사동고개사거리,02-351-8013,서울특별시 은평구청,2021-05-01,3110000,서울특별시 은평구,서울특별시 은평구
증산로,37.599484,126.913533,37.575096,126.901193,37.6004715,126.907363,가로수의 주수종은 왕벚나무이며 은행나무가 식재되어 있음,,,,,증산로,특별시도,응암역 ~ 증산교,02-351-8013,서울특별시 은평구청,2021-05-01,3110000,서울특별시 은평구,서울특별시 은평구
진흥로,37.598494,126.915553,37.606808,126.936917,37.5993795,126.926235,"은행나무가 주수종이며, 벚나무, 이팝나무등이 식재되어 있음",,,,,진흥로,특별시도,신사오거리~구기터널,02-351-8013,서울특별시 은평구청,2021-05-01,3110000,서울특별시 은평구,서울특별시 은평구
서오릉로,37.601459,126.927077,37.619173,126.905553,37.555056,126.916315,"주 수종은 버즘나무이며 ,느티나무 벚나무 등이 식재되어 있음",,,,,서오릉로,특별시도,은평구청입구교차로~갈현동시계,02-351-8013,서울특별시 은평구청,2021-05-01,3110000,서울특별시 은평구,서울특별시 은평구
연서로,37.600265,126.913822,37.650767,126.934526,37.549674,126.924174,"은행나무가 중심이며, 벚나무, 회화나무등이 식재되어 있음",,,,,연서로,특별시도,응암역~입곡삼거리,02-351-8013,서울특별시 은평구청,2021-05-01,3110000,서울특별시 은평구,서울특별시 은평구
도영로7길,37.508653,126.896088,37.509774,126.895548,37.508522,126.895818,도림동주민센터 앞 도로,,,,,도영로7길,구도,도림동주민센터 ~ 도영로,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
대방천로14길,37.499083,126.910228,37.495873,126.910214,37.5130045,126.910221,"신길동 우성아파트와 영신고사이 일방통행로, 왕벚나무가 조성되어 있어 봄철 벚꽃축제가 열린다.",,,,,대방천로14길,구도,대방천로~ 우성아파트,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
도신로29길,37.508391,126.905841,37.512699,126.902521,37.509904,126.904181,"영등포 푸르지와 아파트를 관통하는 도로, 왕벚나무가 조성되어 있음",,,,,도신로29길,구도,도영로 ~도신로,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
선유로35길,37.526926,126.890312,37.527194,126.888351,37.5289885,126.8893315,양평유수지 순환도로,,,,,선유로35길,구도,양평유수지~대우이안,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
도영로22길,37.511417,126.900457,37.510626,126.904046,37.517547,126.9022515,도림동 자이아파트와 푸르지오아파트 사잇길,,,,,도영로22길,구도,대우미래시장오피~영원초교,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
버드나루로14길,37.531051,126.908092,37.525939,126.910313,37.5440455,126.9092025,강변삼성래미안 아파트 뒷 길,,,,,버드나루로14길,구도,강변래미안3차 ~ 대한결핵협회,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
영등포로3길,37.523677,126.882934,37.524342,126.883321,37.5413635,126.8831275,오목교 앞에서 상록수 아파트 옆으로 이어지는 길,,,,,영등포로3길,구도,오목교 ~ 삼성래미안아파트,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
양천로 61길,37.55704,126.8633,37.55983,126.86744,37.553914,126.86537,메타세콰이어가 주로 식재되어 있으며 여름철 녹음길을 선사함,,,,,,구도,증미역교차로~가양빗물펌프장,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
화곡로 63길,37.55905,126.84542,37.55705,126.85203,37.55639,126.848725,가로주변으로 상업지역  주거지역이 위치해 있어 보도이용률이 높음,,,,,,구도,백합어린이공원~등촌동665-10,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
강서로46길,37.550788,126.836442,37.550778,126.839069,37.550384,126.8377555,벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,우장산동물의료센터~GS25편의점,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
강서로 47길,37.55373,126.82641,37.55265,126.83617,37.551675,126.83129,벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,수명산파크3단지교차로~명덕고교입구교차로,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
수명로 1길,37.54998,126.82343,37.55378,126.82576,37.552705,126.824595,벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,수명중고교~수명산파크3단지교차로,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
수명로 2길,37.54962,126.82387,37.55338,126.82836,37.5538815,126.826115,벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,수명중고교~수명산파크5단지,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
수명로 6길,37.55543,126.82666,37.55504,126.83195,37.5614675,126.829305,벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,수명산파크2단지교차로~내발산동742-1,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
마곡중앙2로,37.558143,126.826531,37.557188,126.835243,37.561243,126.830887,"주거지, 상업지구와 인접하여 칠엽수, 이팝 등 여러수종으로 조성됨",,,,,,구도,마곡사이언스타워2~,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
마곡중앙5로,37.567505,126.816689,37.566733,126.827769,37.615667,126.822229,"주거지, 상업지구와 인접하여 왕벚나무와 띠녹지로 조성됨",,,,,,구도,신방화역~마곡나루역,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
마곡중앙10로,37.564343,126.827492,37.563353,126.839533,37.5903795,126.8335125,상업지구와 인접하여 왕벚나무로 조성됨,,,,,,구도,마곡나루역~등촌110단지 교차로,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
삼양로,37.663829,127.012204,37.604231,127.025159,37.6507065,127.0186815,사시사철 푸른 소나무가 많이 식재된 소나무 구간과 가을철 은행나무길의 따스함을 느낄 수 있는 은행나무 구간으로 조성된 아름다운 가로수길,,,,,,,길음역교차로~북산산역,02-901-6944,서울특별시 강북구,2023-05-26,3080000,서울특별시 강북구,서울특별시 강북구
오현로,37.616416,127.029971,37.630606,127.041517,37.6271285,127.035744,"벚나무, 느릅나무, 회화나무 등 다양한 수종의 가로수가 식재되어 보는 즐거움이 있음",,,,,,,송중초교앞교차로~강북구민운동장교차로,02-901-6944,서울특별시 강북구,2023-05-26,3080000,서울특별시 강북구,서울특별시 강북구
삼각산로,37.637584,127.005614,37.642423,127.022109,37.6287565,127.0138615,가을철의 은행나무와 겨울철의 소나무가 아름다움,,,,,,,본원정사~광산사거리,02-901-6944,서울특별시 강북구,2023-05-26,3080000,서울특별시 강북구,서울특별시 강북구
오패산로,37.637841,127.025718,37.611689,127.035004,37.6283025,127.030361,유실수인 잣나무가 다수 식재된 가로수길,,,,,,,수유역~방천시장입구교차로,02-901-6944,서울특별시 강북구,2023-05-26,3080000,서울특별시 강북구,서울특별시 강북구
삼양로19길,37.619929,127.015318,37.614319,127.022159,37.56189,127.0187385,봄철 아름다운 벚꽃길을 볼 수 있는 가로수길,,,,,,,강북소방서~송천초등학교방면,02-901-6944,서울특별시 강북구,2023-05-26,3080000,서울특별시 강북구,서울특별시 강북구
삼양로27길,37.618764,127.013134,37.618704,127.021289,18.809382,127.0172115,봄철의 벚나무와 겨울철 푸른 소나무길이 인상적임,,,,,,,sk북한산시티아파트~삼양동사거리방면,02-901-6944,서울특별시 강북구,2023-05-26,3080000,서울특별시 강북구,서울특별시 강북구
대림로,37.503851,126.896615,37.503851,126.896615,18.7519255,126.896615,대림3동 빗물펌프장에서 시흥대로로 이어지는 도로로 왕벚나무구간과 이팝나무 구간이 있어 봄철 꽃이 아름답다,,,,,대림로,구도,대림3빗물펌프장~시흥대로,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
,,,,,#NAME?,,,,,,,,,,,,,,,
